Species,Weight,Length1,Length2,Length3,Height,Width
Bream,242.0,23.2,25.4,30.0,11.5200,4.0200
Bream,290.0,24.0,26.3,31.2,12.4800,4.3056
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961
Bream,363.0,26.3,29.0,33.5,12.7300,4.4555
Bream,430.0,26.5,29.0,34.0,12.4440,5.1340
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274
Bream,500.0,26.8,29.7,34.5,14.1795,5.2785
Bream,390.0,27.6,30.0,35.0,12.6700,4.6900
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594
Roach,145.0,20.0,22.0,24.0,8.3922,4.0198
Roach,160.0,21.0,23.0,25.0,8.8928,4.1614
Roach,140.0,22.0,24.0,27.2,8.5376,3.8490
Roach,155.0,21.0,23.0,25.0,8.6590,4.2390
Roach,110.0,20.0,22.0,24.0,7.6156,3.7640
Roach,90.0,19.1,21.0,22.5,7.4052,3.2844
Roach,150.0,20.5,22.5,25.3,7.7680,3.8240
Roach,160.0,22.1,24.0,27.2,8.9262,4.2632
Roach,78.0,19.4,21.3,22.8,7.5958,3.5550
Pike,500.0,29.5,31.7,35.0,12.3808,4.6354
Pike,567.0,30.0,32.7,36.0,12.0198,4.7792
Pike,770.0,29.5,32.0,36.5,12.8040,4.5464
Pike,950.0,31.0,33.5,38.0,14.1795,5.2850
Perch,51.5,15.0,16.0,17.2,4.5904,2.6700
Perch,70.0,15.7,17.4,18.5,4.8648,2.8316
Perch,100.0,16.2,18.0,19.2,5.1048,2.9414
Perch,78.0,16.8,18.7,19.4,5.3760,2.6730
Perch,87.0,17.2,19.0,20.2,5.0728,2.8500
Perch,120.0,17.8,19.8,21.2,5.1708,2.8284
Perch,100.0,17.8,20.0,21.0,5.3760,2.9322
Perch,150.0,18.4,20.0,21.3,5.5756,3.0914
